location_code,measurement_time,bicycle_count
PUT04_057B_P,2022-08-01 00:00:00,221
PUT04_057B_P,2022-08-01 01:00:00,108
PUT04_057B_P,2022-08-01 02:00:00,56
PUT04_057B_P,2022-08-01 03:00:00,31
PUT04_057B_P,2022-08-01 04:00:00,19
PUT04_057B_P,2022-08-01 05:00:00,37
PUT04_057B_P,2022-08-01 06:00:00,195
PUT04_057B_P,2022-08-01 07:00:00,537
PUT04_057B_P,2022-08-01 08:00:00,436
PUT04_057B_P,2022-08-01 09:00:00,294
PUT04_057B_P,2022-08-01 10:00:00,448
PUT04_057B_P,2022-08-01 11:00:00,498
PUT04_057B_P,2022-08-01 12:00:00,603
PUT04_057B_P,2022-08-01 13:00:00,687
PUT04_057B_P,2022-08-01 14:00:00,802
PUT04_057B_P,2022-08-01 15:00:00,851
PUT04_057B_P,2022-08-01 16:00:00,434
PUT04_057B_P,2022-08-01 17:00:00,0
PUT04_057B_P,2022-08-01 18:00:00,0
PUT04_057B_P,2022-08-01 19:00:00,0
PUT04_057B_P,2022-08-01 20:00:00,0
PUT04_057B_P,2022-08-01 21:00:00,63
PUT04_057B_P,2022-08-01 22:00:00,463
PUT04_057B_P,2022-08-01 23:00:00,394
PUT04_057B_P,2022-08-02 00:00:00,233
PUT04_057B_P,2022-08-02 01:00:00,133
PUT04_057B_P,2022-08-02 02:00:00,69
PUT04_057B_P,2022-08-02 03:00:00,44
PUT04_057B_P,2022-08-02 04:00:00,36
PUT04_057B_P,2022-08-02 05:00:00,60
PUT04_057B_P,2022-08-02 06:00:00,222
PUT04_057B_P,2022-08-02 07:00:00,603
PUT04_057B_P,2022-08-02 08:00:00,0
PUT04_057B_P,2022-08-02 09:00:00,0
PUT04_057B_P,2022-08-02 10:00:00,719
PUT04_057B_P,2022-08-02 11:00:00,630
PUT04_057B_P,2022-08-02 12:00:00,754
PUT04_057B_P,2022-08-02 13:00:00,730
PUT04_057B_P,2022-08-02 14:00:00,774
PUT04_057B_P,2022-08-02 15:00:00,651
PUT04_057B_P,2022-08-02 16:00:00,401
PUT04_057B_P,2022-08-02 17:00:00,0
PUT04_057B_P,2022-08-02 18:00:00,0
PUT04_057B_P,2022-08-02 19:00:00,0
PUT04_057B_P,2022-08-02 20:00:00,0
PUT04_057B_P,2022-08-02 21:00:00,0
PUT04_057B_P,2022-08-02 22:00:00,423
PUT04_057B_P,2022-08-02 23:00:00,352
PUT04_057B_P,2022-08-03 00:00:00,282
PUT04_057B_P,2022-08-03 01:00:00,136
PUT04_057B_P,2022-08-03 02:00:00,71
PUT04_057B_P,2022-08-03 03:00:00,51
PUT04_057B_P,2022-08-03 04:00:00,52
PUT04_057B_P,2022-08-03 05:00:00,34.91
PUT04_057B_P,2022-08-03 06:00:00,172
